"id","nct_id","name","removed"
39077406,"NCT00010075","France",FALSE
39038755,"NCT00010127","United States",FALSE
38532121,"NCT00010153","United Kingdom",FALSE
38978814,"NCT00010283","United States",FALSE
38508245,"NCT00010322","United States",FALSE
38855554,"NCT00010504","United States",FALSE
39018664,"NCT00010829","United States",FALSE
38739290,"NCT00011063","United States",FALSE
38500228,"NCT00011102","United States",FALSE
38603502,"NCT00011115","United States",FALSE
38621663,"NCT00011193","United States",FALSE
38766784,"NCT00011349","United States",FALSE
38990207,"NCT00011596","United States",FALSE
38905597,"NCT00011635","United States",FALSE
38539593,"NCT00011752","United States",FALSE
38973654,"NCT00011791","United States",FALSE
38859525,"NCT00012025","United States",FALSE
38859526,"NCT00012025","Canada",FALSE
39082345,"NCT00012142","United States",FALSE
39056381,"NCT00012311","United States",FALSE
38792700,"NCT00013442","United States",FALSE
38640251,"NCT00013481","United States",FALSE
38900355,"NCT00013832","United States",FALSE
39036960,"NCT00014027","United States",FALSE
38513411,"NCT00014222","United States",FALSE
38513412,"NCT00014222","Canada",FALSE
38778703,"NCT00014352","United States",FALSE
38578416,"NCT00014456","United States",FALSE
39048661,"NCT00014482","United States",FALSE
38653447,"NCT00014586","Germany",FALSE
38852903,"NCT00014612","France",FALSE
38852904,"NCT00014612","Italy",FALSE
38852905,"NCT00014612","Netherlands",FALSE
38852906,"NCT00014612","Poland",FALSE
38852907,"NCT00014612","Slovenia",FALSE
38852908,"NCT00014612","Switzerland",FALSE
38852909,"NCT00014612","Turkey",FALSE
38852910,"NCT00014612","United Kingdom",FALSE
38415512,"NCT00014638","United States",FALSE
38978453,"NCT00014976","United States",FALSE
39011528,"NCT00015678","United States",FALSE
38974280,"NCT00015795","United States",FALSE
39038746,"NCT00015938","United States",FALSE
38575857,"NCT00015977","United States",FALSE
39077823,"NCT00016146","United States",FALSE
38562589,"NCT00016380","Canada",FALSE
38637021,"NCT00016393","United States",FALSE
38689778,"NCT00016406","United States",FALSE
38801851,"NCT00016432","United States",FALSE
38801852,"NCT00016432","Canada",FALSE
38801853,"NCT00016432","Puerto Rico",FALSE
39038639,"NCT00016510","United States",FALSE
38963583,"NCT00016549","United States",FALSE
38588647,"NCT00016666","United States",FALSE
38681943,"NCT00016731","United States",FALSE
39047721,"NCT00016796","United States",FALSE
38741107,"NCT00016848","United States",FALSE
38461338,"NCT00016913","United States",FALSE
38791000,"NCT00017095","Belgium",FALSE
38791001,"NCT00017095","France",FALSE
38791002,"NCT00017095","Netherlands",FALSE
38791003,"NCT00017095","Poland",FALSE
38791004,"NCT00017095","Portugal",FALSE
38791005,"NCT00017095","Slovenia",FALSE
38791006,"NCT00017095","Sweden",FALSE
38791007,"NCT00017095","Switzerland",FALSE
38791008,"NCT00017095","United Kingdom",FALSE
38710373,"NCT00017563","United States",FALSE
39007033,"NCT00017576","United States",FALSE
38656990,"NCT00017875","United States",FALSE
38721518,"NCT00017953","United States",FALSE
38465295,"NCT00017966","United States",FALSE
39101461,"NCT00017979","United States",FALSE
38515403,"NCT00018759","United States",FALSE
38597727,"NCT00018902","United States",FALSE
38410407,"NCT00019916","United States",FALSE
38934386,"NCT00020098","United States",FALSE
38905297,"NCT00020176","United States",FALSE
38918107,"NCT00020254","United States",FALSE
38760092,"NCT00020267","United States",FALSE
39034380,"NCT00020332","United States",FALSE
38392980,"NCT00020410","United States",FALSE
38565456,"NCT00020579","United States",FALSE
38567642,"NCT00020618","United States",FALSE
38525040,"NCT00020722","United States",FALSE
38538767,"NCT00020735","United States",FALSE
38618923,"NCT00020852","United States",FALSE
38708699,"NCT00020891","United States",FALSE
39061241,"NCT00020904","United States",FALSE
38676661,"NCT00020995","United States",FALSE
38562099,"NCT00021450","Belgium",FALSE
38562100,"NCT00021450","Cyprus",FALSE
38562101,"NCT00021450","Czech Republic",FALSE
38562102,"NCT00021450","France",FALSE
38562103,"NCT00021450","Ireland",FALSE
38562104,"NCT00021450","Italy",FALSE
38562105,"NCT00021450","Luxembourg",FALSE
38562106,"NCT00021450","Netherlands",FALSE
38562107,"NCT00021450","Poland",FALSE
38562108,"NCT00021450","Spain",FALSE
38562109,"NCT00021450","United Kingdom",FALSE
38725178,"NCT00021528","United States",FALSE
38649100,"NCT00021710","United States",FALSE
38500360,"NCT00021996","United States",FALSE
38598180,"NCT00022074","United States",FALSE
38587808,"NCT00022087","United States",FALSE
38642561,"NCT00022152","United States",FALSE
38943813,"NCT00022204","United Kingdom",FALSE
38418325,"NCT00022230","United States",FALSE
38501583,"NCT00022399","United States",FALSE
38417634,"NCT00022412","United States",FALSE
38703210,"NCT00022425","United States",FALSE
38394938,"NCT00022516","Australia",FALSE
38394939,"NCT00022516","Belgium",FALSE
38394940,"NCT00022516","Brazil",FALSE
38394941,"NCT00022516","Chile",FALSE
38394942,"NCT00022516","Hungary",FALSE
38394943,"NCT00022516","Italy",FALSE
38394944,"NCT00022516","Nigeria",FALSE
38394945,"NCT00022516","Peru",FALSE
38394946,"NCT00022516","Romania",FALSE
38394947,"NCT00022516","South Africa",FALSE
38394948,"NCT00022516","Switzerland",FALSE
