,nct_id,start_date,phase,year,BreastCancer,ProstateCancer,Stroke,HeartFailure,Pain,Obesity,Cancer,Depression,Hypertension,Anxiety,UnitedStates,Canada,China,France,Germany,UnitedKingdom,Korea,Italy,Spain,Turkey
7038,NCT04667481,2022/1/5,NA,2022,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7039,NCT04667520,2021/5/10,NA,2021,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7040,NCT04667624,2020/2/29,PHASE1,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7041,NCT04667637,2021/2/23,PHASE2,2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7042,NCT04669899,2021/1/12,PHASE1/PHASE2,2021,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7043,NCT04670991,2021/1/13,NA,2021,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
7044,NCT04671329,2021/3/5,NA,2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7045,NCT04671628,2021/1/1,NA,2021,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
7046,NCT04672460,2020/12/21,PHASE1,2020,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7047,NCT04672798,2020/11/5,NA,2020,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7048,NCT04673123,2021/7/11,NA,2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7049,NCT04673513,2020/12/11,NA,2020,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7050,NCT04673721,2021/1/6,NA,2021,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7051,NCT04673942,2021/3/29,PHASE2,2021,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
